Suburb,Type,Price,BuildingArea,YearBuilt
Essendon,h,1365000,,
Essendon,h,1130000,100,1950
Essendon,u,370000,55,1975
Essendon,h,1467000,171,1900
Essendon,h,1315000,,
Essendon,h,2390000,,
Essendon,h,1240000,,
Essendon,u,456000,,
Essendon,h,2800000,378,2005
Essendon,u,325000,,1975
Essendon,u,521000,,1970
Essendon,u,645000,,
Essendon,h,1160000,217,2015
Essendon,u,445000,,
Essendon,h,2620000,355,1930
Essendon,h,1226000,125,1955
Essendon,h,825000,,
Essendon,h,1402000,193,1940
Essendon,h,897000,,2000
Essendon,h,1240000,,
Essendon,h,1990000,,
Essendon,h,855000,116,1950
Essendon,h,1775000,,
Essendon,u,411000,,
Essendon,h,1275000,160,2008
Essendon,h,1800000,,
Essendon,h,1590000,272,2007
Essendon,u,606000,93,1972
Essendon,h,1385000,137,1930
Essendon,t,650000,129,1985
Essendon,u,460000,72,1960
Essendon,t,1000000,224,2013
Essendon,h,980000,,
Essendon,u,520000,73,1975
Essendon,u,585000,,
Essendon,h,1295000,,
Essendon,t,720000,142,1999
Essendon,h,732500,,
Essendon,h,1635000,227,1900
Essendon,u,485000,73,2010
Essendon,h,980000,,
Essendon,u,840000,,
Essendon,h,1001000,,1915
Essendon,u,891000,,
Essendon,u,800000,,
Essendon,h,1575000,454,1988
Essendon,u,280000,49,1960
Essendon,h,1467000,145,1920
Essendon,h,770000,,
Essendon,u,446000,,
Essendon,h,890000,108,1950
Essendon,h,870000,120,1920
Essendon,h,1500000,,
Essendon,h,1266000,,
Essendon,h,1134000,114,1950
Essendon,h,1756000,,
Essendon,u,320500,52,1970
Essendon,u,650000,,1994
Essendon,h,1065000,143,1960
Essendon,u,667000,,
Essendon,h,1610000,250,2010
Essendon,h,1695000,,
Essendon,h,930000,107,1990
Essendon,h,1870000,,
Essendon,u,395000,68,1975
Essendon,h,1726000,,
Essendon,h,1050000,,
Essendon,h,1470000,120,2016
Essendon,h,801500,,
Essendon,u,480000,,2011
Essendon,h,1475000,,1910
Essendon,t,750000,145,1997
Essendon,u,390000,66,1970
Essendon,u,453000,,
Essendon,u,1170000,180,2013
Essendon,h,1600000,218,1930
Essendon,h,1535000,227,1900
Essendon,h,1400000,,
Essendon,u,435000,66,1970
Essendon,u,457000,,
Essendon,h,1460000,138,1920
Essendon,u,736000,106,1940
Essendon,u,405000,,1970
Essendon,u,450000,65,1970
Essendon,u,740000,104,1988
Essendon,u,691000,80,1995
Essendon,u,370000,,
Essendon,h,2355000,273,1920
Essendon,h,1255000,,
Essendon,h,1560000,,1950
Essendon,h,1330000,,
Essendon,h,1625000,165,1938
Essendon,h,1150000,145,1900
Essendon,h,1085000,,
Essendon,h,1800000,,
Essendon,u,360000,68,1970
Essendon,u,645000,88,1994
Essendon,u,250000,125,1970
Essendon,h,1630000,,
Essendon,h,850000,,
Essendon,u,872000,135,1970
Essendon,t,935000,,
Essendon,u,630000,83,1975
Essendon,u,440000,77,1970
Essendon,h,1811000,284,1930
Essendon,h,1500000,190,1930
Essendon,h,1290000,,
Essendon,h,1045000,,
Essendon,h,1290000,132,1960
Essendon,h,953000,,
Essendon,h,1100000,700,1915
Essendon,u,820000,,
Essendon,h,1270000,266,1996
Essendon,h,1445000,168,1910
Essendon,h,1113000,127,1950
Essendon,u,370000,59,1960
Essendon,h,1505000,,
Essendon,t,590000,,1970
Essendon North,u,396000,56,1975
Essendon North,h,1580000,,
Essendon North,u,393000,,1970
Essendon North,u,260000,,
Essendon North,h,1320000,,
Essendon North,u,450000,59,1960
Essendon North,h,1360000,196,1930
Essendon North,u,340000,65,1960
Essendon North,u,765000,134,2002
Essendon North,h,1605000,,1940
Essendon North,u,712000,104,2009
Essendon North,h,1425000,,
Fairfield,h,1250000,144,1910
Fairfield,h,1350000,110,2000
Fairfield,h,1125000,,
Fairfield,h,1064000,,1900
Fairfield,h,1220000,92,1950
Fairfield,h,1160000,145,1890
Fairfield,u,505000,70,1970
Fairfield,u,602000,77,2013
Fairfield,t,846000,107,1990
Fairfield,u,400000,68,1970
Fairfield,h,610000,,
Fairfield,u,445000,56,1970
Fairfield,u,730000,,1985
Fairfield,h,1730000,226,2007
Fairfield,u,438000,,
Fairfield,h,1700000,,
Fairfield,u,510000,68,1970
Fairfield,u,300000,,
Fairfield,h,750000,,
Fairfield,h,2350000,,1950
Fairfield,h,1350000,109,1930
Fairfield,h,2000000,280,2015
Fairfield,h,1010000,,
Fairfield,h,1065000,,1930
Fairfield,t,805000,2,2008
Fairfield,h,1055000,140,1950
Fairfield,u,548000,68,2014
Fairfield,h,1500000,126,1910
Fairfield,u,600000,75,1970
Fairfield,h,1510000,,
Fairfield,u,545000,77,2002
Fairfield,h,1145000,,
Fairfield,h,1375000,122,1910
Fitzroy,h,1000000,,
Fitzroy,h,1252000,137,2004
Fitzroy,u,810000,71,1965
Fitzroy,u,692000,,
Fitzroy,h,1780000,,1902
Fitzroy,h,947500,66,1980
Fitzroy,h,1460000,105,1890
Fitzroy,t,1520000,,
Fitzroy,t,880000,105,2000
Fitzroy,h,3310000,291,1854
Fitzroy,h,1481000,,1900
Fitzroy,h,2200000,,
Fitzroy,h,1250000,105,1890
Fitzroy,h,1440000,,
Fitzroy,h,1315000,,
Fitzroy,h,1950000,152,1890
Fitzroy,u,597000,,2000
Fitzroy,u,650000,,
Fitzroy,u,465000,52,2011
Fitzroy,h,1620000,165,1880
Fitzroy,h,1600000,,
Fitzroy,u,850000,115,2000
Fitzroy,u,790000,,
Fitzroy,h,1122000,101,1890
Fitzroy,u,660000,,
Fitzroy,h,1300000,110,1900
Fitzroy,u,420000,42,1975
Fitzroy,u,715000,74,1900
Fitzroy,u,458000,62,
Fitzroy,h,800000,138,1995
Fitzroy,t,710000,90,2002
Fitzroy,u,630000,70,2007
Fitzroy,h,4011000,275,1890
Fitzroy,h,677000,,1850
Fitzroy North,u,700000,85,2010
Fitzroy North,h,860000,70,1880
Fitzroy North,h,870000,64,1910
Fitzroy North,h,1116000,,
Fitzroy North,h,1450000,175,1950
Fitzroy North,t,930000,3558,
Fitzroy North,u,700000,,2011
Fitzroy North,h,2170000,,
Fitzroy North,u,358500,40,1975
Fitzroy North,h,1000000,,
Fitzroy North,h,770000,151,1905
Fitzroy North,h,1008000,77,1890
Fitzroy North,t,1015000,145,2000
Fitzroy North,h,1371000,128,1900
Fitzroy North,t,1054000,,
Fitzroy North,h,1055000,,
Fitzroy North,u,720000,,2011
Fitzroy North,h,1286000,116,1915
Fitzroy North,h,1655000,,1900
Fitzroy North,h,1181000,,
Fitzroy North,t,1600000,129,2000
Fitzroy North,h,2875000,,
Fitzroy North,h,990000,,
Fitzroy North,h,1950000,216,1890
Fitzroy North,h,3400000,175,1890
Fitzroy North,h,1785000,165,1900
Fitzroy North,h,1315000,,
Fitzroy North,h,1210000,118,1885
Fitzroy North,h,1275000,110,1890
Fitzroy North,h,1141000,,
Fitzroy North,h,1255000,,
Fitzroy North,h,1700000,,
Fitzroy North,h,1290000,92,1890
Fitzroy North,t,750000,95,2002
Fitzroy North,u,674000,,
Fitzroy North,u,675000,92,2010
Fitzroy North,t,1700000,209,2008
Fitzroy North,h,875000,,
Fitzroy North,t,1080000,133,2016
Fitzroy North,h,1851000,,
Fitzroy North,h,1222500,105,1940
Fitzroy North,u,330000,,1970
Fitzroy North,h,1232000,,
Fitzroy North,h,899000,,
Fitzroy North,h,2300000,,
Fitzroy North,h,937500,72,1890
Fitzroy North,h,1710000,,1880
Fitzroy North,h,1600000,,
Fitzroy North,h,1300000,110,1890
Fitzroy North,h,2300000,,
Fitzroy North,u,490000,,2012
Fitzroy North,h,1300000,135,1890
Fitzroy North,h,1300000,,
Fitzroy North,h,2150000,307,1898
Fitzroy North,t,775000,,
Fitzroy North,h,1581000,132,1910
Fitzroy North,u,602000,48,1980
Fitzroy North,h,650000,75,1980
Fitzroy North,h,1283000,,
Fitzroy North,h,1450000,103,1905
Fitzroy North,h,1325000,,
Flemington,h,865500,,
Flemington,u,365000,60,1970
Flemington,u,380000,,
Flemington,u,425000,63,1970
Flemington,u,280000,,1970
Flemington,h,870000,,
Flemington,u,391000,59,1970
Flemington,h,715000,,1980
Flemington,h,1130000,140,1900
Flemington,h,1110000,131,1885
Flemington,h,950000,,
Flemington,h,918000,78,1900
Flemington,h,730000,98,1890
Flemington,u,360000,,
Flemington,h,855000,85,1930
Flemington,h,860000,,
Flemington,h,1012000,102,1930
Flemington,h,885000,,
Flemington,h,1315000,20,
Flemington,h,1700000,,
Flemington,h,1205000,,
Flemington,u,395000,60,1970
Flemington,u,476000,,
Flemington,h,250000,,
Flemington,u,556000,79,2009
Flemington,h,845000,,1910
Flemington,u,345000,46,1970
Flemington,h,1100000,150,1900
Flemington,h,957000,,
Flemington,h,991000,,1915
Flemington,h,850000,,1905
Flemington,u,395000,50,1880
Flemington,u,350000,,1970
Flemington,h,1115000,84,1940
Flemington,u,420500,52,1970
Footscray,t,585000,,
Footscray,u,85000,,2007
Footscray,h,1225000,130,1915
Footscray,u,431000,,
Footscray,h,1003000,98,1900
Footscray,h,840000,93,1900
Footscray,h,1362000,156,1890
Footscray,h,977000,161,2007
Footscray,u,216000,50,1970
Footscray,h,876000,106,1990
Footscray,u,227000,52,1970
Footscray,t,841000,160,2000
Footscray,u,605000,87,2000
Footscray,u,305000,35,2013
Footscray,t,480000,75,2010
Footscray,u,357000,,1980
Footscray,h,910000,118,1940
Footscray,u,291000,46,1970
Footscray,h,375000,,1968
Footscray,h,752000,98,1910
Footscray,h,1155000,120,1950
Footscray,h,930000,,
Footscray,u,490000,,
Footscray,h,853000,141,2010
Footscray,h,1290000,,
Footscray,u,480000,90,1985
Footscray,h,775000,87,1890
Footscray,h,900000,,1900
Footscray,u,281000,65,1980
Footscray,h,1300000,190,1950
Footscray,t,714000,3,2008
Footscray,h,775000,,
Footscray,h,950000,92,1940
Footscray,u,674000,,
Footscray,h,760000,115,1910
Footscray,u,420000,75,2010
Footscray,t,560000,,
Footscray,h,575000,,2000
Footscray,h,1100000,,
Footscray,h,932000,130,1910
Footscray,h,780000,129,1900
Footscray,u,295000,69,1960
Footscray,u,433000,66,2012
Footscray,t,410000,80,2014
Footscray,h,1170000,103,1900
Footscray,u,375000,50,1920
Footscray,u,615000,,1960
Footscray,h,747000,120,1940
Footscray,u,275000,,1970
Footscray,h,1045000,,
Footscray,h,775000,99,1920
Footscray,u,571000,78,2013
Footscray,u,310000,,
Footscray,u,305000,70,1965
Footscray,h,860500,228,1980
Footscray,t,820000,,
Footscray,u,210000,,
Footscray,h,875000,92,
Footscray,u,370000,75,2007
Footscray,h,711000,90,1910
Footscray,u,665000,,
Footscray,h,690500,98,1900
Footscray,h,747000,94,1900
Footscray,h,858000,93,1915
Footscray,t,699000,126,2015
Footscray,h,835000,109,1920
Footscray,h,661000,83,1970
Footscray,h,757500,108,1900
Footscray,u,282000,42,1975
Footscray,t,699000,113,2000
Footscray,h,850000,99,1930
Footscray,u,315000,74,1970
Footscray,h,740000,94,1910
Footscray,u,360000,,
Footscray,h,980000,154,2006
Footscray,u,561000,,
Footscray,u,316000,55,1960
Footscray,h,800000,,1940
Footscray,h,760000,70,1920
Footscray,t,735000,168,2010
Footscray,h,823000,,
Footscray,h,1225000,130,1915
Footscray,u,296000,,
Footscray,h,886500,,
Footscray,h,767500,98,1930
Footscray,u,395000,79,2009
Footscray,h,815000,151,1910
Footscray,t,757000,102,2011
Footscray,h,1450000,160,1910
Footscray,h,745000,74,1890
Footscray,h,716000,275,2000
Glen Iris,h,1735000,170,1935
Glen Iris,h,1699000,,
Glen Iris,h,3400000,265,1920
Glen Iris,h,3730000,353,1925
Glen Iris,h,1800000,217,1930
Glen Iris,h,1998000,183,2002
Glen Iris,u,671000,85,1960
Glen Iris,h,3110000,,
Glen Iris,h,1780000,,
Glen Iris,h,1425000,163,2006
Glen Iris,h,1530000,118,1940
Glen Iris,h,1900000,323,1985
Glen Iris,h,1500000,,
Glen Iris,h,1360000,134,1940
Glen Iris,h,2175000,327,2003
Glen Iris,h,2325000,314,1930
Glen Iris,h,2538000,314,2000
Glen Iris,h,2300000,254,1941
Glen Iris,u,550000,63,1968
Glen Iris,h,1600000,134,1940
Glen Iris,h,2100000,,
Glen Iris,h,2115000,157,1920
Glen Iris,h,1700000,188,1951
Glen Iris,h,3500000,,
Glen Iris,h,1750000,,
Glen Iris,h,967500,,
Glen Iris,h,2077000,143,1910
Glen Iris,h,2850000,305,1935
Glen Iris,u,411000,65,1970
Glen Iris,h,1222000,,
Glen Iris,h,1550000,,
Glen Iris,h,1660000,,1930
Glen Iris,h,2250000,,1940
Glen Iris,u,1162000,,
Glen Iris,h,2020000,351,2009
Glen Iris,h,845000,,
Glen Iris,h,1510000,,
Glen Iris,h,2010000,212,1930
Glen Iris,h,2975000,30,1930
Glen Iris,u,585000,,
Glen Iris,h,1275000,,
Glen Iris,u,452000,52,1980
Glen Iris,t,1625000,,
Glen Iris,h,1800000,,
Glen Iris,h,1820000,136,1930
Glen Iris,u,291000,38,1982
Glen Iris,u,710000,,
Glen Iris,h,2376000,230,1925
Glen Iris,h,1020000,,1910
Glen Iris,h,1456000,142,1920
Glen Iris,h,1875000,,
Glen Iris,h,1430000,255,
Glen Iris,h,2300000,,
Glen Iris,t,345000,44,1970
Glen Iris,h,2000000,248,1920
Glen Iris,h,1550000,,
Glen Iris,h,1625000,,1980
Glen Iris,u,480000,,
Glen Iris,t,585000,84,1960
Glen Iris,h,1960000,,1940
Glen Iris,h,1700000,266,1946
Glen Iris,u,680000,,
Glen Iris,t,1220000,,1999
Glen Iris,h,1375000,176,1990
Glen Iris,h,920000,115,1930
Glen Iris,u,382000,33,1960
Glen Iris,u,545000,,
Glen Iris,t,1350000,,
Glen Iris,h,1280000,123,1950
Glen Iris,h,1825000,,
Glen Iris,h,2825000,206,2013
Glen Iris,h,2825000,217,1910
Glen Iris,h,1825000,26,1999
Glen Iris,u,328000,,
Glen Iris,h,2016000,,
Glen Iris,h,3085000,326,2000
Glen Iris,h,1710000,,
Glen Iris,h,1770000,,
Glen Iris,h,1765000,,
Glen Iris,u,511000,,
Glen Iris,h,2000000,,
Glen Iris,h,1600000,184,1950
Glen Iris,h,1880000,,1920
Glen Iris,h,2352500,336,1930
Glen Iris,h,3860000,520,2009
Glen Iris,h,2625000,326,1930
Glen Iris,u,856500,,1960
Glen Iris,h,1650000,,
Glen Iris,t,600000,1143,
Glen Iris,u,690000,,
Glen Iris,t,1200000,,
Glen Iris,h,3010000,,1910
Glen Iris,u,785000,,
Glen Iris,h,1950000,155,1960
Glen Iris,h,2200000,142,1930
Glen Iris,h,1751000,140,1930
Glen Iris,h,1857000,205,1930
Glen Iris,u,375000,,
Glen Iris,u,720000,74,1940
Glen Iris,h,1500000,107,1935
Glen Iris,h,2725000,246,2007
Glen Iris,h,1723000,,
Glen Iris,u,529500,,
Glen Iris,h,2800000,153,1930
Glen Iris,h,1665000,143,1941
Glen Iris,u,600000,80,1960
Glen Iris,h,1420000,607,1940
Glen Iris,h,1550000,,
Glen Iris,u,420000,,2011
Glen Iris,h,1920000,,
Glen Iris,h,2100000,,1989
Glen Iris,h,2410000,354,2015
Glen Iris,h,2100000,216,1930
Glen Iris,h,2950000,295,1966
Glen Iris,u,390000,,
Glen Iris,h,3365000,270,1925
Glen Iris,h,1390000,,
Glen Iris,h,1802000,,1980
Glen Iris,h,1310000,,
Glen Iris,h,1931000,193,1975
Glen Iris,h,2000000,,
Glen Iris,h,1250000,107,1910
Glen Iris,h,2400000,672,1930
Glen Iris,u,460000,,
Glenroy,h,610000,118,1960
Glenroy,h,610000,144,1960
Glenroy,t,555000,3,
Glenroy,h,500000,,
Glenroy,h,806500,127,1965
Glenroy,h,1150000,,
Glenroy,h,850000,,
Glenroy,h,550000,138,2017
Glenroy,h,822000,105,1950
Glenroy,h,980000,136,1950
Glenroy,h,670000,,
Glenroy,u,430000,100,2010
Glenroy,h,852500,,
Glenroy,h,1025000,,
Glenroy,h,540000,114,2010
Glenroy,h,530000,,
Glenroy,h,721000,,1976
Glenroy,h,737000,97,1950
Glenroy,h,575500,,
Glenroy,h,600000,,
Glenroy,h,460000,3,1950
Glenroy,t,370000,,2003
Glenroy,h,691000,,
Glenroy,h,500000,,
Glenroy,t,545000,130,2014
Glenroy,h,670000,140,1960
Glenroy,h,572000,,
Glenroy,h,702000,124,1956
Glenroy,h,730000,115,1950
Glenroy,h,711500,81,1950
Glenroy,h,820000,,
Glenroy,h,810000,176,1950
Glenroy,u,250000,61,1970
Glenroy,t,460000,106,1970
Glenroy,h,793000,120,1960
Glenroy,u,340000,74,1970
Glenroy,h,596000,,
Glenroy,h,447500,130,2000
Glenroy,h,588000,125,1960
Glenroy,h,420000,96,1960
Glenroy,u,410000,81,2000
Glenroy,h,688000,,
Glenroy,h,612500,,
Glenroy,h,525000,85,1950
Glenroy,h,703000,102,1960
Glenroy,t,608000,150,2014
Glenroy,h,705000,,1970
Glenroy,u,320500,,
Glenroy,h,577000,,
Glenroy,u,230000,,
Glenroy,t,607000,131,2014
Glenroy,h,765500,180,1970
Glenroy,u,470000,99,2014
Glenroy,u,482500,,1995
Glenroy,h,580000,142,1960
Glenroy,t,434500,,1975
Glenroy,u,620250,91,2012
Glenroy,h,710000,104,1960
Glenroy,h,630000,130,1960
Glenroy,t,420000,,
Glenroy,h,600000,139,1968
Glenroy,t,550000,129,2010
Glenroy,u,460000,,
Glenroy,h,600000,159,1968
Glenroy,h,1217500,192,2014
Glenroy,h,600000,150,1960
Glenroy,h,570000,146,1975
Glenroy,h,655000,,
Glenroy,h,500000,,
Glenroy,h,762700,100,1960
Glenroy,u,465000,89,2012
Glenroy,h,741250,88,1955
Glenroy,t,488500,2,
Glenroy,h,787500,,
Glenroy,u,442000,,
Glenroy,h,1000000,304,1935
Glenroy,h,726335,,
Glenroy,h,630000,180,1950
Glenroy,h,670000,135,1950
Glenroy,h,417000,77,2013
Glenroy,t,600000,143,2001
Glenroy,t,440000,121,2010
Glenroy,h,501000,,
Glenroy,h,660000,116,1950
Glenroy,h,722000,,
Glenroy,h,270000,155,2000
Glenroy,h,825000,194,1970
Glenroy,h,638000,258,2005
Gowanbrae,h,631000,138,2001
Gowanbrae,t,532000,19,2005
Gowanbrae,h,500000,,
Gowanbrae,h,504000,139,2004
Gowanbrae,t,468000,138,2000
Gowanbrae,h,802500,264,2005
Gowanbrae,h,709000,213,2007
Gowanbrae,h,700000,,
Gowanbrae,h,485000,134,2004
Gowanbrae,h,540000,141,2008
Gowanbrae,h,390000,136,2005
Gowanbrae,h,800000,251,2000
Gowanbrae,h,525000,,
Gowanbrae,h,740000,213,2007
Hadfield,h,605000,116,1960
Hadfield,h,685500,103,1970
Hadfield,h,610000,98,1950
Hadfield,h,630000,112,1970
Hadfield,h,870000,268,2010
Hadfield,h,810000,129,1950
Hadfield,h,840000,,
Hadfield,h,585000,,
Hadfield,h,772500,,1983
Hadfield,u,465000,,2005
Hadfield,h,719000,,1980
Hadfield,u,487000,96,2010
Hadfield,h,700000,168,1950
Hadfield,h,600500,161,1970
Hadfield,h,730000,134,1970
Hadfield,h,800000,116,1960
Hadfield,h,918000,,
Hadfield,t,750000,251,2011
Hadfield,h,740000,115,1960
Hadfield,h,721000,,1960
Hadfield,h,646000,106,1970
Hadfield,h,545000,113,2000
Hadfield,h,770000,,
Hadfield,h,777000,176,1960
Hadfield,h,722000,103,1950
Hadfield,h,545000,102,1960
Hadfield,t,510000,115,2012
Hadfield,h,542500,,1960
Hadfield,h,631500,95,1965
Hadfield,h,750074,,
Hadfield,h,591000,,
Hadfield,h,550000,142,1960
Hadfield,h,330000,2,1970
Hadfield,h,800000,,
Hadfield,h,725000,,
Hadfield,h,815000,,1950
Hadfield,h,715888,92,1960
Hadfield,h,650000,,
Hadfield,t,468000,110,2012
Hadfield,h,1102000,,
Hadfield,h,515000,79,1990
Hadfield,h,716000,,
Hadfield,h,640000,,
Hadfield,h,460000,,
Hampton,u,895000,87,1975
Hampton,u,587000,74,1975
Hampton,h,2800000,320,2015
Hampton,u,720000,,
Hampton,h,3250000,300,1904
Hampton,h,2140000,187,1925
Hampton,h,1600000,242,2011
Hampton,t,2200000,,
Hampton,h,1003500,109,1998
Hampton,u,802000,85,1965
Hampton,t,1500000,,
Hampton,h,1686500,,
Hampton,h,1400000,168,
Hampton,h,1560000,125,1955
Hampton,u,680000,78,
Hampton,h,1715000,,
Hampton,u,760000,86,1985
Hampton,u,616000,104,2005
Hampton,h,1680000,90,1955
Hampton,h,2520000,,1960
Hampton,t,890000,,
Hampton,h,1120000,113,1984
Hampton,h,3200000,325,1920
Hampton,h,1250000,220,2014
Hampton,h,2420000,,
Hampton,h,2000000,248,1925
Hampton,h,2880000,,
Hampton,h,1805000,224,1950
Hampton,h,1460000,,
Hampton,h,1403000,,
Hampton,h,1682000,,
Hampton,h,1875000,,
Hampton,h,2600000,162,1900
Hampton,u,685000,,
Hampton,h,2400000,,
Hampton,h,3470000,413,2008
Hampton,h,1615000,,1934
Hampton,h,1450000,,
Hampton,u,786000,,1970
Hampton,u,742000,,
Hampton,h,1050000,120,1970
Hampton,h,1690000,,
Hampton,u,810000,115,1960
Hampton,h,1460000,137,1970
Hampton,h,1620000,,
Hampton,h,1420000,,2012
Hampton,h,2400000,,1935
Hampton,h,3075000,204,1901
Hampton,h,3201000,,1935
Hampton,u,875500,118,1970
Hampton,t,1400000,,2000
Hampton,u,1457500,,
Hampton,h,2600000,324,1950
Hampton,h,1465000,,
Hampton,h,1705000,364,1950
Hampton,h,1610000,,
Hampton,u,750000,,1970
Hampton,h,1320000,,
Hampton,u,896000,,
Hampton,h,1450000,,
Hampton,u,898000,,1970
Hampton,h,1515000,613,1950
Hampton,h,2980000,323,2011
Hampton,h,2200000,305,2000
Hampton,u,500000,,
Hampton,t,1100000,140,1987
Hampton,u,800000,,
Hampton,h,3325000,303,1997
Hampton,u,691000,,
Hampton,u,450000,70,2007
Hampton,u,738000,,
Hampton,t,1140000,,1999
Hampton,u,500000,61,1970
Hampton,h,1460000,228,1950
Hampton,h,2800000,,
Hampton,t,820000,,
Hampton,t,915500,148,
Hampton,h,1740000,209,1950
Hampton,h,2450000,,
Hampton,h,1800000,184,1935
Hampton,h,2160000,231,1940
Hampton,h,1800000,,
Hampton,h,2439500,,1880
Hampton,h,2250000,260,1925
Hampton,h,2130000,188,1925
Hampton East,u,400000,75,1960
Hampton East,h,952000,,
Hampton East,h,1255000,,
Hampton East,t,1020000,171,
Hampton East,h,926000,140,1950
Hampton East,h,1070000,106,1970
Hampton East,u,801000,107,1994
Hampton East,t,1150000,3,2005
Hampton East,u,472000,68,2007
Hampton East,h,1471000,,
Hampton East,h,830000,,
Hampton East,h,1195000,,
Hampton East,h,1300000,150,1950
Hampton East,h,1416000,,
Hampton East,h,1200000,154,2002
Hampton East,u,865000,,
Hawthorn,h,1650000,210,2005
Hawthorn,h,5100000,,
Hawthorn,h,2670000,235,1905
Hawthorn,h,1480000,116,
Hawthorn,u,348000,53,1950
Hawthorn,u,320000,,
Hawthorn,u,1189000,122,1969
Hawthorn,u,610000,82,2014
Hawthorn,u,575000,,
Hawthorn,u,600000,,
Hawthorn,u,492000,63,1995
Hawthorn,u,891000,,1970
Hawthorn,u,806000,64,1930
Hawthorn,h,1155000,,
Hawthorn,h,2000000,176,1940
Hawthorn,u,500000,,2007
Hawthorn,u,753000,88,1960
Hawthorn,u,330000,52,1970
Hawthorn,h,1420000,108,1890
Hawthorn,u,956000,,
Hawthorn,u,418000,,
Hawthorn,u,495000,60,2014
Hawthorn,u,525000,,
Hawthorn,u,292000,56,1966
Hawthorn,u,430000,,
Hawthorn,u,365000,,1975
Hawthorn,u,580000,76,2003
Hawthorn,h,1300000,155,1938
Hawthorn,h,1300000,90,1900
Hawthorn,u,575000,,
Hawthorn,u,335000,,
Hawthorn,u,440000,52,1970
Hawthorn,u,1000000,145,1999
Hawthorn,h,2610000,,
Hawthorn,h,1741000,109,1910
Hawthorn,h,2325000,,
Hawthorn,u,545000,,2004
Hawthorn,u,655000,78,1960
Hawthorn,h,2920000,,1928
Hawthorn,u,488000,57,2004
Hawthorn,h,1510000,,1970
Hawthorn,u,450000,,
Hawthorn,h,2065000,150,1910
Hawthorn,u,350000,51,1960
Hawthorn,u,645000,,
Hawthorn,t,1400000,,1960
Hawthorn,h,1712000,130,1900
Hawthorn,u,520000,,
Hawthorn,u,480000,50,1940
Hawthorn,u,630000,,
Hawthorn,h,3225000,220,1890
Hawthorn,u,517000,,
Hawthorn,u,320000,,
Hawthorn,h,1828500,,1885
Hawthorn,u,400000,41,1950
Hawthorn,u,1650000,180,2002
Hawthorn,h,3950000,340,1890
Hawthorn,u,587500,72,1965
Hawthorn,u,560000,70,2013
Hawthorn,h,1936000,173,1890
Hawthorn,h,4250000,435,1930
Hawthorn,h,3500000,5,
Hawthorn,u,487500,,
Hawthorn,u,630000,75,1970
Hawthorn,h,1560000,148,1910
Hawthorn,h,2265000,,
Hawthorn,u,840000,88,2014
Hawthorn,h,1780000,178,2011
Hawthorn,u,605000,,
Hawthorn,u,535000,,1970
Hawthorn,u,815000,93,1940
Hawthorn,u,1975000,196,2010
Hawthorn,u,445000,,1960
Hawthorn,u,663000,,
Hawthorn,u,657500,73,1965
Hawthorn,h,5050000,373,1913
Hawthorn,u,445000,52,1970
Hawthorn,u,750000,,2007
Hawthorn,h,1180000,92,1900
Hawthorn,u,470000,70,1970
Hawthorn,u,485000,76,2005
Hawthorn,u,290000,,
Hawthorn,h,1800000,158,1940
Hawthorn,u,805000,,1970
Hawthorn,h,1855000,125,1900
Hawthorn,h,1377000,,1890
Hawthorn,u,665000,70,1965
Hawthorn,u,751000,,
Hawthorn,h,1551000,103,1890
Hawthorn,u,415000,,
Hawthorn,u,743000,,
Hawthorn,h,1535000,,
Hawthorn,u,612500,71,1960
Hawthorn,h,2410000,171,1890
Hawthorn,u,690000,,
Hawthorn,u,695000,,
Hawthorn,u,715000,82,2001
Hawthorn,h,2375000,,
Hawthorn,h,1980000,,
Hawthorn,t,1055000,151,1975
Hawthorn,h,1976000,275,1890
Hawthorn,u,382000,,
Hawthorn,u,499000,56,1960
Hawthorn,u,495000,85,1970
Hawthorn,h,3750000,344,1920
Hawthorn,h,1400000,126,1890
Hawthorn,u,370000,44,2014
Hawthorn,u,627500,89,2000
Hawthorn,u,710000,,
Hawthorn,u,485000,,
Hawthorn,u,310000,,
Hawthorn,h,3120000,,
Hawthorn,u,450000,,1970
Hawthorn,h,2160000,,1910
Heidelberg Heights,h,815000,120,1930
Heidelberg Heights,h,720000,,
Heidelberg Heights,h,1370000,,
Heidelberg Heights,h,757000,,
Heidelberg Heights,h,740600,,
Heidelberg Heights,h,580000,,
Heidelberg Heights,t,565000,107,2007
Heidelberg Heights,h,1587500,,2013
Heidelberg Heights,h,758500,,
Heidelberg Heights,h,994000,192,1950
Heidelberg Heights,h,725000,,
Heidelberg Heights,h,725000,,1955
Heidelberg Heights,h,743000,,1950
Heidelberg Heights,h,785000,130,1950
Heidelberg Heights,t,620000,118,2005
Heidelberg Heights,h,700000,,
Heidelberg Heights,t,706750,125,2012
Heidelberg Heights,h,584000,84,1950
Heidelberg Heights,h,909000,134,1960
Heidelberg Heights,h,1086000,161,1960
Heidelberg Heights,h,680000,78,1950
Heidelberg Heights,u,440000,,1970
Heidelberg Heights,h,650000,85,1950
Heidelberg Heights,h,890000,172,1972
Heidelberg Heights,h,650000,90,1955
Heidelberg Heights,h,659500,,
Heidelberg Heights,h,725000,,
Heidelberg Heights,u,605000,87,2008
Heidelberg Heights,h,770000,115,1960
Heidelberg Heights,h,950000,118,1960
Heidelberg Heights,h,856000,208,1975
